,pm25,lat,long,rd_x,rd_y,location
201,10.12,52.413060637423364,4.5788280018733944,100000.0,492000.0,"KD-30, Stroweg, Overveen, Bloemendaal, Noord-Holland, Nederland, 2051EA, Nederland"
202,11.67,52.413353289842604,4.622917540161604,103000.0,492000.0,"Euphrasia, Dennenweg, Veen en Duin, Bloemendaal, Noord-Holland, Nederland, 2061HS, Nederland"
203,11.14,52.41362953121478,4.667007729710683,106000.0,492000.0,"Hekslootpolder - Vogelkijkhut, Spaarndamseweg, Spaarndam-West, Spaarndam gem. Haarlem, Haarlem, Noord-Holland, Nederland, 2063, Nederland"
204,11.1,52.41388936104941,4.711098532960845,109000.0,492000.0,"Ringweg, Spaarndam-Oost, Spaarndam, Haarlemmermeer, Noord-Holland, Nederland, 2064, Nederland"
205,10.8,52.41413277888517,4.755189912348862,112000.0,492000.0,"Ruijgoordweg, Westpoort, Amsterdam, Noord-Holland, Nederland, 1047BD, Nederland"
206,11.17,52.414359784289864,4.799281830308279,115000.0,492000.0,"Hornweg, Westpoort, Amsterdam, Noord-Holland, Nederland, 1044AK, Nederland"
207,11.56,52.41457037686043,4.843374249269618,118000.0,492000.0,"Benzolweg, Hemhavens, Westpoort, Amsterdam, Noord-Holland, Nederland, 1041AK, Nederland"
208,12.07,52.41476455622295,4.887467131660599,121000.0,492000.0,"179, Kometensingel, Oostzanerwerf, Amsterdam, Noord-Holland, Nederland, 1033BE, Nederland"
209,11.64,52.41494232203263,4.931560439906338,124000.0,492000.0,"Dorspad, Landsmeer, Noord-Holland, Nederland, 1034NW, Nederland"
210,10.73,52.41510367397383,4.975654136429571,127000.0,492000.0,"Broekergouw, Amsterdam, Noord-Holland, Nederland, 1027AH, Nederland"
211,10.44,52.38610027861039,4.579319662235243,100000.0,489000.0,"Meertje van Burdet, Visscherspad, Overveen, Bloemendaal, Noord-Holland, Nederland, 2042DA, Nederland"
212,12.71,52.386392701256,4.623382385175722,103000.0,489000.0,"2D-0031, Garenkokerskade, Haarlem, Noord-Holland, Nederland, 2013AM, Nederland"
213,11.79,52.386668725735525,4.667445758032087,106000.0,489000.0,"Busweg, Waarder-en Veerpolder, Haarlem, Noord-Holland, Nederland, 2031DA, Nederland"
214,11.31,52.38692835155939,4.711509743322145,109000.0,489000.0,"Vinkebrug, Halfweg, Haarlemmermeer, Noord-Holland, Nederland, 1165ML, Nederland"
